gene	log2FC
E2F1	-0.33
TP53	-1.944
CDK4	-0.654
CDK4	-1.296
MYC	-4.752
E2F1	-0.336
SOS1	-0.283
KIT	0.291
CDKN1B	2.292
APC	-1.142
REL	4.779
TNF	-2.037
ERBB2	4.823
FGFR3	3.559
MET	2.263
EGFR	3.171
MYC	-1.81
SOS1	-1.732
SHC1	-3.866
NFKB1	2.413
HIF1A	-3.006
MET	-2.515
ABL1	-3.528
HRAS	-2.57
CDKN1A	2.73
FGFR2	-4.312
KRAS	3.073
PDGFRA	0.392
MKI67	-2.287
TERT	-0.812
ERBB2	-1.913
TP53	-1.2
HRAS	0.922
LCK	0.995
JAK2	-1.932
FGFR2	4.971
REL	-3.785
E2F2	-0.527
VHL	-1.127
SRC	0.977
IL10	-0.141
BRCA1	-1.591
SMAD4	-4.361
NOTCH1	3.313
CDKN2A	3.35
IL6	-4.745
JAK2	1.882
E2F1	1.534
FGFR1	4.797
FOS	1.043
GRB2	-4.024
ERBB2	-4.586
E2F1	-0.906
TP53	3.525
HIF1A	1.793
MAP2K2	-1.214
CDKN1A	2.861
FOS	-2.342
APC	-0.894
SOS1	-3.613
PDGFRA	1.281
FGFR2	2.908
CDKN1A	-0.413
VHL	-2.491
BRAF	3.737
SMAD4	-2.285
CDKN1A	-2.82
MDM2	1.975
JAK2	-1.425
FOS	2.725
BRCA2	2.972
STAT3	-1.123
CDKN1A	3.897
CDKN1B	1.6
GATA3	-0.777
HIF1A	2.144
PTEN	1.651
BRCA2	1.854
MAPK1	2.771
TERT	4.783
MDM2	-0.774
PIK3CA	-3.502
FGFR2	-4.134
MET	-2.442
KIT	0.019
FGFR1	-2.966
MYC	-1.037
LCK	3.637
CDK6	-2.48
LCK	-1.823
PTEN	0.323
CDH1	4.023
SMAD4	-2.152
NRAS	1.889
CDKN1A	2.226
MDM2	4.358
FGFR2	-4.015
BRCA1	1.956
SYK	-0.604
JAK2	0.891
LCK	4.848
MAPK3	-4.243
GRB2	-3.73
NOTCH1	-1.33
VHL	3.076
HIF1A	2.845
ERBB2	3.039
BRCA2	1.878
NFKB1	1.958
PDGFRA	-4.196
MKI67	1.654
GATA3	-2.769
APC	-2.157
APC	-4.694
KIT	-1.764
SYK	0.887
PTEN	-0.244
SOS1	-2.285
JUN	2.843
FGFR2	2.567
CXCL8	-4.595
FGFR3	-3.916
HIF1A	3.339
FGFR3	-0.203
CDK4	-0.141
PDGFRA	3.561
IL10	1.731
E2F1	-0.882
MAP2K2	2.577
MKI67	-3.813
TERT	-2.937
CDK6	0.235
TNF	-0.002
MET	2.518
APC	2.341
KIT	2.02
E2F2	-3.977
SOS1	2.876
IL10	-3.967
JUN	-1.369
E2F1	-1.362
TNF	2.67
MAPK3	2.904
VEGFA	-4.79
JUN	-0.915
SMAD4	-1.332
TNF	4.758
CDK2	2.357
SRC	-1.497
HRAS	3.739
CDK6	0.622
CDK6	0.718
RB1	1.37
ERBB2	3.419
VHL	-4.269
ABL1	-0.529
MAP2K2	2.442
MAP2K1	2.826
VEGFA	2.689
MAP2K1	-2.437
ERBB2	-1.063
TNF	-2.395
CDK2	0.543
TNF	-3.152
SHC1	-1.835
JUN	3.631
VHL	-1.5
REL	-4.269
MAPK3	-2.75
CDK2	3.528
MDM2	-1.502
MYC	-3.655
PTEN	3.192
MET	1.487
REL	-2.596
GATA3	-3.066
VEGFA	0.683
CDKN1B	-0.717
SMAD4	-0.631
CDKN1A	4.0
GATA3	4.64
APC	1.909
VHL	-2.723
SOS1	-3.455
NOTCH1	-4.941
SMAD4	3.538
AKT1	3.371
IL10	3.013
PDGFRA	1.777
BRCA1	1.583
EGFR	-0.205
PTEN	-2.154
NRAS	3.261
BRAF	-4.802
MAPK1	0.109
KRAS	3.415
TNF	-2.057
VHL	-0.588
CDKN1A	-0.517
NFKB1	-3.943
BRCA1	2.441
RAF1	-3.49
EGFR	-0.101
CDK2	-3.087
FGFR3	2.325
KRAS	-3.924
NRAS	-0.219
PCNA	1.911
RB1	3.137
SMAD4	1.152
CDK6	4.644
KIT	-3.454
SHC1	0.759
PCNA	-3.709
CCND1	0.123
FGFR3	4.857
CDK6	2.099
ABL1	0.383
MET	3.531
CDKN1B	1.68
MAP2K2	-3.498
SOS1	4.441
CXCL8	-1.826
SRC	-2.353
E2F2	0.565
CDH1	0.707
FGFR3	-3.954
PIK3CA	2.548
FGFR3	-3.281
PCNA	0.343
HRAS	-4.274
HIF1A	-1.761
SMAD4	-2.143
KRAS	4.954
CDK4	1.945
TP53	1.765
BRAF	4.293
HRAS	2.023
FGFR3	4.58
IL10	-0.336
VHL	4.707
GATA3	-4.889
CCND1	0.73
KRAS	1.897
CDK4	3.406
MAP2K2	-0.436
MET	-2.349
AKT1	2.359
BRAF	3.801
GATA3	-2.232
CDKN2A	-2.71
CDKN2A	-2.522
IL6	-0.111
MKI67	-0.207
CDK6	3.924
NOTCH1	-2.32
MAP2K2	-2.522
E2F1	-4.768
TERT	-4.947
HRAS	2.59
STAT3	-0.059
RB1	-3.712
CXCL8	-1.769
SRC	0.312
AKT1	-3.179
NRAS	-1.304
IL10	-2.803
RB1	-2.9
CDK2	3.005
RAF1	-1.838
SRC	-3.746
REL	4.882
CDKN1A	-0.58
MAPK3	-3.065
HIF1A	0.97
VEGFA	-2.089
GRB2	-4.905
JAK2	-1.654
BRCA2	4.215
KIT	4.055
NFKB1	-2.452
AKT1	0.83
REL	-4.019
IL10	-1.776
SHC1	-4.243
PCNA	-2.344
STAT3	2.747
RB1	-1.093
E2F2	0.656
NRAS	1.443
BRCA1	1.77
MAPK1	-1.73
SYK	3.148
IL6	3.56
ABL1	0.265
CDKN2A	-4.676
E2F2	-2.425
SYK	-0.065
PTEN	2.637
CXCL8	4.486
ERBB2	1.814
CXCL8	-2.097
FGFR1	-3.935
SMAD4	-4.065
TNF	-3.966
STAT3	0.59
SOS1	-2.882
CDK4	4.109
HIF1A	-0.893
VEGFA	4.317
SHC1	-3.147
FGFR1	1.356
FGFR3	-2.364
JAK2	3.21
CDK4	-0.104
TP53	4.094
MAP2K1	4.089
FGFR3	2.449
PTEN	4.924
GATA3	3.904
SOS1	-0.584
MKI67	4.077
STAT3	-1.876
PDGFRA	-4.721
CDK4	-3.598
HIF1A	3.046
MKI67	2.749
CDKN1B	-0.383
SMAD4	-4.782
CCND1	2.893
CDKN2A	4.68
NFKB1	4.746
HIF1A	0.331
VEGFA	0.839
NFKB1	1.129
TP53	1.573
MYC	-1.188
KIT	-3.614
KRAS	-2.119
CCND1	1.694
CDK4	-4.518
CDK4	-2.735
MYC	-4.466
RB1	-2.449
CDK6	-3.781
NRAS	-4.838
MAPK1	-1.634
CCNE1	-2.466
STAT3	-3.353
TP53	-2.693
PIK3CA	2.24
HIF1A	-2.555
REL	-4.548
CCNE1	-3.422
STAT3	0.952
MAP2K1	3.829
MAP2K1	0.529
MDM2	1.627
CDK2	2.097
ABL1	1.505
REL	-2.402
IL6	-2.121
JAK2	-1.93
IL10	0.373
FGFR3	4.832
HRAS	-0.167
SOS1	3.216
CCND1	1.279
CXCL8	3.332
TP53	-2.687
GRB2	1.698
CDKN1B	2.514
NRAS	1.28
FGFR2	-4.204
SMAD4	2.083
PCNA	4.684
IL10	-0.205
CDKN2A	0.361
ABL1	1.63
JUN	-1.108
NRAS	-1.845
VEGFA	-4.847
CDK2	3.073
CDK6	-0.714
ABL1	1.947
TNF	2.715
IL10	0.656
AKT1	-2.653
VEGFA	-4.074
MKI67	-3.517
RB1	0.426
HRAS	2.683
EGFR	4.49
ABL1	-4.645
RB1	-1.956
AKT1	1.901
JAK2	-3.038
MAP2K2	1.86
FGFR1	2.872
KRAS	-2.382
STAT3	-2.726
KIT	-4.088
PDGFRA	4.009
STAT3	3.628
LCK	2.698
MAP2K1	-3.96
MKI67	-3.858
HIF1A	2.876
ERBB2	4.135
FGFR2	-3.713
E2F1	3.775
CCND1	-1.478
MYC	0.684
CXCL8	-4.395
VHL	1.477
MKI67	4.504
MDM2	4.709
MAPK3	-2.112
MAPK1	-1.096
CDH1	1.56
ERBB2	2.969
SRC	-1.353
PIK3CA	-1.088
TNF	0.832
ERBB2	2.332
NRAS	3.613
CCNE1	1.984
GRB2	-3.441
BRAF	-3.134
MAP2K2	-4.885
IL10	2.875
MAPK3	0.166
JUN	-2.852
FGFR3	3.232
VEGFA	-4.689
RB1	4.694
MAP2K2	-3.924
CDK4	2.609
GATA3	0.046
FGFR2	3.681
MAPK1	3.39
VHL	2.259
KRAS	0.507
MDM2	3.529
TERT	3.235
STAT3	3.798
MAP2K2	-4.487
CDKN1B	-3.509
HRAS	-2.823
KRAS	-2.965
AKT1	1.095
HRAS	3.401
PTEN	-4.829
VEGFA	-4.326
MKI67	-4.017
TERT	2.571
CDKN2A	0.039
BRCA1	0.476
KRAS	-1.949
PTEN	0.314
CDKN2A	-4.698
VEGFA	0.474
CDK6	-2.57
REL	3.573
SRC	-0.28
HIF1A	-1.64
FGFR3	0.038
HIF1A	-0.559
HIF1A	-4.314
PDGFRA	-2.552
FOS	1.526
SOS1	-4.04
RAF1	-0.416
PDGFRA	4.218
MAP2K2	2.785
E2F2	1.418
TNF	2.551
RB1	2.602
VEGFA	-1.52
REL	0.783
SHC1	0.502
PDGFRA	4.331
CDK4	-2.398
MAP2K1	3.542
AKT1	4.478
CDK6	0.368
FOS	4.885
CDKN1B	-4.502
MDM2	-0.118
ERBB2	2.192
MDM2	-0.174
SOS1	0.752
VEGFA	1.537
MAP2K2	4.593
GRB2	-3.725
MAPK3	1.059
IL6	-4.996
EGFR	-4.979
ERBB2	4.941
MAP2K1	3.975
FGFR3	-1.012
KRAS	3.682
SHC1	4.132
VHL	4.921
CDK4	-3.647
TNF	-1.102
CCND1	2.876
CDKN1A	2.167
JUN	2.425
CDK4	-3.457
NFKB1	1.683
CDK4	-1.53
IL6	1.613
MET	-2.535
SYK	3.055
SOS1	-0.364
GRB2	1.332
IL10	4.078
PIK3CA	0.473
BRCA2	3.046
GRB2	-2.627
MAPK3	-1.598
CDKN2A	3.052
CXCL8	2.619
RB1	-2.241
HRAS	1.515
CDH1	-0.544
MYC	3.869
MAP2K1	-1.952
FGFR2	0.445
E2F2	-3.818
SHC1	-0.349
CXCL8	-2.249
CDK4	1.512
MAP2K2	0.985
HIF1A	-3.289
HRAS	-1.202
SOS1	-1.506
PCNA	-3.717
CDKN1B	-4.325
SMAD4	-1.44
MKI67	0.744
VHL	-0.666
FOS	-0.369
ABL1	-1.922
EGFR	3.534
SYK	-4.347
SOS1	-3.176
E2F2	-3.278
HIF1A	1.584
MAPK3	-3.908
E2F1	-3.596
TP53	-1.683
NOTCH1	3.054
PTEN	-4.33
CXCL8	0.167
FGFR3	-1.112
ABL1	-2.801
APC	-3.903
RB1	-3.272
CDKN1B	0.852
NOTCH1	0.29
VHL	2.73
SOS1	-0.907
MAP2K2	0.506
GRB2	0.305
SRC	-0.393
TERT	-1.021
CDH1	2.193
SHC1	-2.856
PDGFRA	3.712
SOS1	2.494
TP53	1.445
BRCA1	-2.46
VHL	2.103
PCNA	-2.709
BRCA2	-2.559
SYK	-1.551
CDK6	-2.521
APC	4.694
TNF	-3.098
CDKN2A	1.608
FGFR3	-0.394
SOS1	4.324
JUN	3.134
SMAD4	2.353
SRC	3.77
HIF1A	1.79
PTEN	-1.38
EGFR	4.328
JUN	0.678
VHL	2.187
CDK6	-2.936
BRCA1	-4.178
GRB2	-3.917
PTEN	0.2
MAPK3	4.772
RB1	3.827
CDKN2A	1.491
JUN	-3.355
GRB2	2.285
E2F2	-2.531
CDK4	-1.515
VHL	1.934
CDK6	-0.305
GATA3	0.492
HRAS	0.141
CDH1	-0.073
PTEN	-1.428
MAP2K2	2.748
FOS	-0.158
ABL1	1.014
IL10	2.652
CDKN1A	-1.015
CDKN1A	4.694
SHC1	-0.107
NRAS	3.604
MKI67	-4.56
SRC	-3.913
VEGFA	-0.677
CDH1	-2.626
RAF1	-1.579
FOS	-1.466
NFKB1	1.638
SMAD4	2.285
NRAS	2.031
CDKN1A	2.279
CDKN1A	0.065
BRAF	-1.882
FGFR2	-2.102
SHC1	-1.235
BRAF	-2.795
MET	-1.606
MAPK1	3.403
NRAS	2.36
RB1	-0.029
FGFR3	3.881
PIK3CA	3.018
KIT	3.846
KRAS	-2.952
REL	4.173
IL10	-1.247
SRC	-0.146
TNF	-2.76
KRAS	0.475
CDH1	-3.724
GRB2	3.211
VEGFA	-3.537
VEGFA	-3.893
E2F1	2.501
E2F1	2.061
TP53	-2.73
CDK6	2.198
FGFR2	1.078
RB1	-0.396
PIK3CA	0.664
VEGFA	4.161
MYC	-1.594
HRAS	4.041
ERBB2	-2.016
CDKN2A	1.299
NFKB1	-0.393
FOS	2.388
VEGFA	0.434
CDKN1B	3.118
E2F2	-4.796
EGFR	-0.403
PDGFRA	-1.534
ABL1	-2.579
CCNE1	-1.923
CDKN2A	-3.226
MAPK3	-2.609
NRAS	-1.716
CCNE1	-4.188
SYK	1.117
MAPK3	-1.27
BRCA2	-2.922
PCNA	-1.994
NRAS	-2.078
CDK4	3.302
BRCA2	4.927
MET	-4.649
E2F2	0.911
MAP2K1	-0.372
TERT	4.129
APC	-3.097
E2F2	-1.267
MDM2	-1.46
EGFR	-3.358
SOS1	2.084
CDH1	-3.078
NOTCH1	3.829
MKI67	-4.439
CCNE1	-3.757
TNF	-1.995
MYC	-2.624
BRCA1	-4.07
MET	-2.859
ERBB2	1.302
SOS1	2.957
BRCA1	-1.188
NRAS	4.964
VHL	0.863
SOS1	4.948
REL	-1.029
TERT	-0.453
CDKN1A	3.864
SHC1	-1.604
FGFR1	-1.839
RB1	-2.745
MET	4.89
MDM2	-3.776
BRAF	-1.254
HIF1A	-3.075
REL	0.709
PIK3CA	-2.097
MAPK1	-1.4
CDKN1A	4.634
LCK	-4.386
NRAS	-3.649
MAPK1	-3.186
CDK4	-0.333
CCND1	-2.643
HRAS	3.119
VHL	4.926
CDK2	4.467
CDKN1A	3.505
E2F2	-1.06
CCND1	0.706
APC	3.747
CDH1	2.05
ABL1	-0.577
SRC	3.514
MAPK3	4.217
SHC1	-4.872
MDM2	-1.271
HIF1A	-2.865
CDK2	4.557
FGFR3	-3.094
STAT3	1.865
RB1	0.478
SYK	-3.549
BRAF	-3.235
HIF1A	-4.594
APC	-3.463
JAK2	0.414
FOS	-0.475
KRAS	-1.401
GATA3	2.162
FGFR2	-3.614
CCND1	-0.592
LCK	-1.49
EGFR	-1.345
ABL1	-4.453
VEGFA	-4.129
HRAS	-2.155
HRAS	1.976
VEGFA	4.087
CDKN1A	3.042
CDKN2A	0.483
REL	2.001
PCNA	-2.574
NRAS	-0.278
SYK	0.132
GRB2	2.764
CDK6	-2.616
MAP2K2	2.22
MET	4.485
KIT	-3.782
FGFR3	-4.372
IL10	1.636
STAT3	3.727
TP53	0.946
JAK2	-1.002
MDM2	2.507
MDM2	-4.038
TP53	-3.886
SMAD4	3.127
GATA3	-3.593
VHL	-3.047
SRC	0.16
CDK6	4.045
E2F1	-3.651
ABL1	0.519
MAP2K2	4.318
TNF	-0.235
EGFR	-0.642
MKI67	-2.586
MKI67	1.577
NFKB1	-2.376
NFKB1	2.016
TNF	-3.778
PTEN	-2.507
TP53	3.205
MET	-2.817
SHC1	-4.277
SMAD4	1.86
BRCA2	-4.242
CDKN1A	-0.479
JUN	-2.427
PCNA	-0.425
E2F2	3.086
GATA3	-1.369
VEGFA	-1.123
NRAS	2.672
NOTCH1	-2.767
FGFR3	4.552
TP53	1.052
GRB2	1.061
GRB2	-3.82
VHL	-1.245
REL	-3.396
EGFR	4.037
MKI67	1.686
GRB2	4.798
RB1	-0.024
MAPK3	-3.911
CDKN1A	-2.612
PCNA	0.367
BRAF	-3.969
BRAF	0.224
AKT1	-4.309
CDK4	4.194
TP53	-2.382
MAP2K2	-2.808
JAK2	0.165
HIF1A	0.949
TERT	-2.727
CCNE1	1.94
JAK2	0.115
SHC1	-0.559
CDK2	4.906
CCNE1	-2.913
VEGFA	1.276
TERT	0.477
HIF1A	2.22
E2F1	2.549
NRAS	-3.597
TERT	3.772
CDK4	4.816
E2F1	-4.014
MYC	-4.216
MDM2	-3.445
CCND1	-0.496
KRAS	1.998
CDK6	4.276
NFKB1	-2.257
AKT1	1.599
MKI67	-2.33
MKI67	-0.541
EGFR	-1.88
JUN	4.918
APC	1.639
REL	1.043
CDKN2A	-2.702
NOTCH1	4.044
STAT3	-3.21
NOTCH1	-2.718
MKI67	-1.502
HIF1A	4.79
RAF1	1.305
MET	1.713
ERBB2	1.126
ABL1	-1.058
CDK2	-3.054
HRAS	1.587
PCNA	-0.372
FGFR2	-3.118
KRAS	-4.316
SYK	-2.122
CDKN1B	-0.037
MET	-0.636
TP53	3.952
MAPK3	2.933
PCNA	-0.477
SRC	-2.544
BRAF	3.31
VEGFA	-4.758
SOS1	-1.93
KRAS	-3.593
TERT	2.115
MAPK3	-1.066
PTEN	2.418
MKI67	2.353
VHL	-1.483
HIF1A	1.109
NRAS	-4.68
SYK	1.532
PTEN	-2.75
TERT	2.392
SRC	2.08
REL	-4.425
CDKN2A	-0.722
FGFR3	-0.072
BRCA2	-3.885
BRCA1	3.817
JAK2	2.51
NOTCH1	-3.923
VEGFA	-3.77
LCK	-0.115
EGFR	3.563
FGFR2	-0.004
PCNA	-2.791
PDGFRA	-2.94
MYC	4.153
MAPK1	2.695
SOS1	-2.192
APC	-0.468
BRCA2	-3.375
PTEN	-4.041
PTEN	-3.376
FOS	0.986
VHL	4.92
E2F1	-1.855
BRCA2	-4.929
PCNA	4.569
E2F1	-4.908
MAP2K2	-0.903
IL6	3.141
MAP2K2	0.585
NFKB1	-1.586
GATA3	-0.809
PIK3CA	-4.388
FGFR2	1.663
STAT3	-4.581
MYC	4.57
CDK2	-3.824
VEGFA	-2.228
E2F1	2.184
NRAS	0.969
GRB2	0.149
PTEN	-3.92
VHL	1.483
E2F1	-3.172
PTEN	4.817
SYK	3.045
KIT	1.049
HRAS	3.269
FGFR2	-2.103
SOS1	2.47
GRB2	-0.081
JUN	1.527
MAP2K1	-4.816
JAK2	-1.103
MAPK3	-2.705
SHC1	-4.436
CCNE1	-2.937
FGFR2	3.286
PTEN	4.264
STAT3	1.83
MDM2	-3.352
SOS1	0.783
MKI67	-0.931
SOS1	-3.358
KIT	-4.349
GATA3	3.091
STAT3	2.852
SYK	4.314
GATA3	0.709
LCK	4.254
IL6	-1.258
CDK2	0.886
CDKN2A	-4.928
EGFR	-4.932
CDH1	-0.588
SRC	-1.959
EGFR	-4.857
CDK2	-3.534
CCND1	-4.824
SHC1	-0.298
MET	3.027
MAP2K1	0.453
TNF	4.023
RAF1	-3.035
BRAF	-4.867
HRAS	1.041
KIT	1.17
SMAD4	1.322
AKT1	3.408
KIT	1.205
FOS	-3.55
CDK6	4.929
VHL	-2.562
ERBB2	4.216
CDK2	-2.345
MET	0.891
CXCL8	1.133
FGFR2	-2.183
RB1	2.781
EGFR	0.563
FOS	-1.107
RB1	4.641
IL6	-1.24
EGFR	-3.469
CXCL8	0.397
MAP2K1	-3.053
FGFR3	-3.208
KRAS	-1.555
MAP2K2	1.548
JAK2	-4.55
PTEN	3.196
JUN	-0.621
VEGFA	-2.633
MAPK3	-1.778
IL6	-2.26
KRAS	-2.937
PDGFRA	2.261
LCK	1.924
KIT	3.127
RB1	4.706
MAP2K2	3.52
GRB2	-2.848
MET	4.728
VHL	1.483
TERT	-3.353
MDM2	-4.283
IL10	3.17
NRAS	0.174
FGFR1	-2.52
CDK2	-0.073
IL10	-4.199
TERT	2.615
SOS1	-0.854
MAPK3	3.573
STAT3	-1.287
AKT1	3.868
REL	-3.32
RAF1	-1.076
SOS1	4.751
FGFR1	1.733
TP53	-0.239
CDK4	2.65
FGFR1	3.75
ABL1	-4.647
MAPK1	1.946
PDGFRA	3.974
CDKN1A	2.391
RB1	2.377
FOS	3.973
MAPK3	4.651
FOS	-3.453
GRB2	4.273
E2F2	-3.441
MYC	1.946
APC	-4.796
CXCL8	1.51
MAP2K1	-1.981
CDKN1B	3.709
CXCL8	3.167
BRAF	1.365
VEGFA	-3.25
CDK6	-1.685
BRCA2	2.743
KRAS	3.576
BRCA1	2.067
KIT	-4.366
E2F1	-4.697
JAK2	0.267
RB1	-0.892
SYK	-3.194
TNF	2.392
HRAS	3.189
VEGFA	3.391
CDKN2A	-2.352
AKT1	2.915
NOTCH1	0.588
SRC	0.789
E2F2	-0.705
BRCA1	2.736
CDKN2A	-1.171
CDKN2A	-3.967
CCNE1	4.152
BRCA2	-1.676
GRB2	0.237
MAP2K1	3.581
MAP2K1	-0.789
MET	1.141
SRC	4.959
REL	1.39
MAPK3	-0.26
ERBB2	3.455
TP53	-4.199
SMAD4	-0.458
CDKN1A	-0.128
MAP2K1	-2.917
PTEN	3.647
JUN	-0.311
TERT	4.211
TERT	-2.732
CXCL8	-4.878
GRB2	3.266
KIT	-1.848
SMAD4	-4.405
AKT1	2.864
NRAS	-4.12
EGFR	-2.496
JUN	2.599
TP53	1.626
HRAS	1.551
CDKN1A	-3.079
EGFR	3.496
MDM2	-4.922
KIT	2.719
IL6	3.788
SYK	-3.161
PIK3CA	-3.582
MET	-3.33
CDK4	-2.166
FGFR1	-3.33
STAT3	-1.874
REL	-0.466
CDKN1B	-4.72
E2F1	4.407
TERT	2.54
MAPK1	2.847
VEGFA	3.147
FOS	0.415
TNF	-1.412
FGFR2	-2.735
CDKN1A	0.892
FGFR2	3.358
SYK	2.987
CCND1	1.906
CCNE1	-1.454
PCNA	-4.167
MDM2	-4.775
SHC1	-1.757
IL6	-4.127
VEGFA	1.635
E2F1	4.816
NFKB1	2.667
SMAD4	0.136
BRCA2	1.906
PIK3CA	-3.798
FOS	-2.415
ERBB2	-2.103
CDKN1B	1.684
GRB2	4.809
SYK	-4.487
IL10	-1.793
JAK2	-0.396
MAP2K2	1.254
KRAS	1.818
GRB2	2.207
VEGFA	-0.5
TP53	4.124
APC	3.355
VEGFA	4.41
BRAF	-3.126
FGFR1	-4.64
JUN	-2.348
CDK4	-2.623
CDKN2A	-2.713
TP53	4.587
BRCA1	0.565
BRAF	-1.515
PCNA	0.441
RAF1	-3.999
RAF1	2.75
FGFR3	1.325
AKT1	-4.815
MKI67	0.089
CDKN1A	3.641
MAP2K1	-2.21
FGFR3	2.298
AKT1	-3.706
IL10	2.034
NOTCH1	-1.264
RAF1	2.984
MET	1.472
CDK2	-2.246
FGFR2	1.653
STAT3	2.365
JUN	4.433
LCK	1.137
STAT3	2.763
E2F1	0.236
SRC	4.333
FOS	4.222
KRAS	0.418
VHL	4.3
TP53	1.219
AKT1	1.142
PCNA	3.629
LCK	-2.232
APC	-0.31
PIK3CA	-1.949
E2F2	-1.12
JUN	1.634
REL	-2.381
MDM2	2.422
CCNE1	4.512
GRB2	-1.583
SRC	-3.721
FGFR2	-0.883
FGFR1	-3.162
MYC	4.793
PIK3CA	1.364
NFKB1	2.947
IL10	4.783
MET	-4.035
TERT	4.482
CDK2	1.559
JAK2	-2.999
KRAS	0.871
REL	2.121
SMAD4	2.771
PDGFRA	-2.729
CCND1	-1.382
VHL	-2.24
CDK4	-0.827
PDGFRA	4.768
BRAF	-4.169
CDK2	-1.658
CCNE1	-2.857
CCND1	0.304
CDKN1B	-0.509
GRB2	4.368
HIF1A	-0.294
PIK3CA	-3.265
CDK6	0.637
NFKB1	-4.306
MDM2	2.511
TERT	-4.049
MET	0.73
SOS1	2.516
REL	-2.569
PDGFRA	2.556
NRAS	-3.134
PTEN	-2.062
RB1	-4.396
SMAD4	-1.147
E2F1	1.8
VHL	-4.748
GRB2	2.125
SMAD4	-0.636
VEGFA	-1.638
CDKN1A	-3.295
FOS	4.071
TP53	-2.925
PDGFRA	1.027
SMAD4	1.047
CDKN2A	-3.381
IL6	-4.351
IL10	2.818
HRAS	4.736
CDKN1B	-0.971
PDGFRA	0.569
PTEN	-3.187
TERT	-4.485
FGFR1	-1.92
EGFR	1.529
FOS	4.944
CDH1	2.83
NRAS	3.882
MDM2	-1.058
PIK3CA	3.021
BRAF	4.39
VHL	-3.652
CDKN1A	-0.471
MDM2	1.274
ERBB2	-0.129
CDKN1B	3.533
FOS	3.581
EGFR	-1.721
CDH1	2.043
IL10	1.858
CDKN2A	-3.821
AKT1	1.271
STAT3	3.065
SHC1	4.449
KIT	-0.386
NOTCH1	-0.315
JAK2	-2.395
AKT1	-0.983
VEGFA	-4.126
PDGFRA	4.732
IL6	0.28
CXCL8	1.361
FOS	0.255
JAK2	-3.945
NFKB1	4.438
REL	4.118
TP53	-4.965
CDKN1A	-2.322
PTEN	-3.51
CDK4	-0.904
BRCA2	-3.892
FOS	0.276
AKT1	-1.308
IL6	3.23
FGFR1	-1.048
MET	2.345
KIT	2.919
ERBB2	-3.193
CDH1	-2.546
RAF1	0.04
VHL	2.723
KIT	-2.463
MAPK3	-3.253
SHC1	4.662
KIT	4.303
RB1	-1.409
SHC1	-2.724
FOS	2.17
MAPK3	2.994
CDH1	-4.233
CDH1	3.333
MAP2K1	-0.489
PDGFRA	-4.499
MYC	-1.534
E2F1	-1.393
FOS	3.392
ERBB2	-3.003
PDGFRA	-2.474
PCNA	2.58
CDK2	1.723
SYK	2.709
NRAS	3.176
SMAD4	0.759
ERBB2	-4.687
NRAS	2.297
CXCL8	2.114
MET	-4.753
CDK4	4.837
E2F1	1.827
GATA3	-4.914
MKI67	-1.376
E2F2	-2.3
RAF1	-1.043
REL	1.557
CDKN1B	-4.774
SRC	-0.175
APC	1.943
MAP2K2	2.152
STAT3	-3.788
SYK	-4.55
SOS1	1.199
E2F1	-0.442
SRC	3.409
JAK2	2.834
CDKN2A	4.253
IL10	-0.085
PIK3CA	-4.286
IL6	0.654
FGFR3	-0.115
MYC	-3.822
IL10	-3.079
SRC	2.147
GATA3	-0.177
HIF1A	-3.914
FGFR3	-1.356
KRAS	-3.373
SOS1	4.113
PDGFRA	-1.101
JAK2	4.843
TNF	-0.256
CXCL8	-1.614
HRAS	-2.458
CDK6	0.547
E2F1	-3.5
PCNA	-3.663
FOS	4.71
MKI67	-0.158
SRC	3.28
BRCA1	1.481
IL6	-2.868
FGFR1	-0.337
PIK3CA	-1.861
TERT	-3.908
LCK	2.953
MAP2K1	4.969
JAK2	2.089
EGFR	0.105
GRB2	4.518
MET	0.655
CDKN1B	3.346
AKT1	-2.879
ERBB2	-3.099
ABL1	-3.022
MDM2	4.206
HIF1A	-4.726
FGFR2	-3.76
KRAS	-1.407
PCNA	4.452
PIK3CA	-4.646
BRCA2	3.025
E2F1	0.287
VHL	3.359
MAP2K1	2.428
ERBB2	-2.359
PTEN	-1.295
KIT	4.184
IL10	-4.374
REL	3.778
MAPK1	0.076
BRAF	-1.328
BRCA1	1.095
NOTCH1	2.294
APC	0.287
MET	-4.907
SRC	3.693
BRAF	-0.661
HIF1A	0.234
TNF	-2.5
SOS1	-2.522
ERBB2	-0.015
CDK6	2.183
CDKN1A	4.002
KRAS	0.205
CDKN1A	-1.145
TP53	-2.56
VEGFA	-3.854
CXCL8	4.82
VHL	2.438
KRAS	2.532
E2F1	-4.173
TERT	0.027
E2F1	4.66
ABL1	-4.192
ERBB2	0.569
HRAS	-0.394
VEGFA	-0.31
CDK6	3.958
CDK4	-1.92
FGFR2	2.969
MAP2K2	0.102
CDH1	4.985
CDK4	2.977
JUN	0.81
SMAD4	-0.932
SYK	3.36
FGFR1	-4.685
MYC	0.227
HRAS	-3.589
BRCA1	-3.624
SMAD4	3.402
NFKB1	0.495
SMAD4	2.77
PDGFRA	-2.183
MET	2.247
BRCA2	0.505
SMAD4	3.583
KRAS	2.723
LCK	-3.719
PTEN	4.088
NOTCH1	-2.389
CDK6	3.988
SYK	-0.481
VHL	-4.823
